,nome,verso
393,Ambição (segunda versão),Preciso de um grande amor
394,Ambição (segunda versão),"Preciso dinheiro, preciso de paz"
395,Ambição (segunda versão),No reino das águas claras
396,Ambição (segunda versão),Amanheceu a noite mais cedo
397,Ambição (segunda versão),Debaixo do meu travesseiro
398,Ambição (segunda versão),Eu encontrei um poço de desejos
399,Ambição (Versão Original),Eu saí pra estrada
400,Ambição (Versão Original),E não tenho pra onde ir
401,Ambição (Versão Original),Sempre ouvi dizer
402,Ambição (Versão Original),Que esse mundo era pequeno
403,Ambição (Versão Original),Pelo caminho de espinhos
404,Ambição (Versão Original),Avistei um mar de rosas
405,Ambição (Versão Original),Pra chegar até lá
406,Ambição (Versão Original),Eu preciso um pouco mais de tempo
407,Ambição (Versão Original),Preciso de um grande amor
408,Ambição (Versão Original),"Preciso dinheiro, preciso de humor"
409,Ambição (Versão Original),Eu quero matar a vontade
410,Ambição (Versão Original),Enquanto tenho saúde e idade
411,Ambição (Versão Original),Fazer um pouco de tudo
412,Ambição (Versão Original),Vender a alma pra poder comprar
413,Ambição (Versão Original),O meu mundo
414,Ambição (Versão Original),Pelo caminho de espinhos
415,Ambição (Versão Original),Avistei um mar de rosas
416,Ambição (Versão Original),Pra chegar até lá
417,Ambição (Versão Original),Eu preciso um pouco mais de tempo
418,Ambição (Versão Original),Preciso de um grande amor
419,Ambição (Versão Original),"Preciso dinheiro, preciso de humor"
420,Ambição (Versão Original),Eu quero matar a vontade
421,Ambição (Versão Original),Enquanto tenho saúde e idade
422,Ambição (Versão Original),Fazer um pouco de tudo
423,Ambição (Versão Original),Vender a alma pra poder comprar
424,Ambição (Versão Original),O meu mundo
425,Amor Branco e Preto,Por que será que eu gosto de sofrer?
426,Amor Branco e Preto,Vai ver que agora eu dei pra masoquista
427,Amor Branco e Preto,Meu amor branco e preto
428,Amor Branco e Preto,Às vezes me deixou na mão.
429,Amor Branco e Preto,Mas eu gosto de você
430,Amor Branco e Preto,Já não me importa a sua ingratidão
431,Amor Branco e Preto,"Sofro, mas continuo a te adorar"
432,Amor Branco e Preto,"Corinthians, meu amor"
433,Amor Branco e Preto,Corinthians!
434,Amor e Sexo,Amor é um livro
435,Amor e Sexo,Sexo é esporte
436,Amor e Sexo,Sexo é escolha
437,Amor e Sexo,Amor é sorte
438,Amor e Sexo,Amor é pensamento
439,Amor e Sexo,Teorema
440,Amor e Sexo,Amor é novela
441,Amor e Sexo,Sexo é cinema
442,Amor e Sexo,Sexo é imaginação
443,Amor e Sexo,Fantasia
444,Amor e Sexo,Amor é prosa
445,Amor e Sexo,Sexo é poesia
446,Amor e Sexo,O amor nos torna
447,Amor e Sexo,Patéticos
448,Amor e Sexo,Sexo é uma selva
449,Amor e Sexo,De epiléticos
450,Amor e Sexo,Amor é cristão
451,Amor e Sexo,Sexo é pagão
452,Amor e Sexo,Amor é latifúndio
453,Amor e Sexo,Sexo é invasão
454,Amor e Sexo,Amor é divino
455,Amor e Sexo,Sexo é animal
456,Amor e Sexo,Amor é bossa nova
457,Amor e Sexo,Sexo é carnaval
458,Amor e Sexo,"Oh, oh, uh"
459,Amor e Sexo,Amor é para sempre
460,Amor e Sexo,Sexo também
461,Amor e Sexo,Sexo é do bom
462,Amor e Sexo,Amor é do bem
463,Amor e Sexo,Amor sem sexo
464,Amor e Sexo,É amizade
465,Amor e Sexo,Sexo sem amor
466,Amor e Sexo,É vontade
467,Amor e Sexo,Amor é um
468,Amor e Sexo,Sexo é dois
469,Amor e Sexo,Sexo antes
470,Amor e Sexo,Amor depois
471,Amor e Sexo,Sexo vem dos outros
472,Amor e Sexo,E vai embora
473,Amor e Sexo,Amor vem de nós
474,Amor e Sexo,E demora
475,Amor e Sexo,Amor é cristão
476,Amor e Sexo,Sexo é pagão
477,Amor e Sexo,Amor é latifúndio
478,Amor e Sexo,Sexo é invasão
479,Amor e Sexo,Amor é divino
480,Amor e Sexo,Sexo é animal
481,Amor e Sexo,Amor é bossa nova
482,Amor e Sexo,Sexo é carnaval
483,Amor e Sexo,"Oh, oh, uh"
484,Amor e Sexo,Amor é isso
485,Amor e Sexo,Sexo é aquilo
486,Amor e Sexo,E coisa e tal
487,Amor e Sexo,E tal e coisa
488,Amor e Sexo,"Uh, uh, uh"
489,Amor e Sexo,"Ai, o amor"
490,Amor e Sexo,"Hum, o sexo"
491,Amor Objeto,Talvez por acaso
492,Amor Objeto,"O destino me fez cruzar com você,"
493,Amor Objeto,"Assim tão de repente,"
494,Amor Objeto,Como uma nova aventura
495,Amor Objeto,"Fiquei gamado em você, doçura"
496,Amor Objeto,Faça comigo o que bem entender
497,Amor Objeto,"Um romance secreto,"
498,Amor Objeto,"Um mero namorado,"
499,Amor Objeto,Um simples objeto de amor identificado!
500,Amor Objeto,"Gosto de você assim assim,"
501,Amor Objeto,Sem tirar nem pôr!
502,And I Love Him,I give him all my love
503,And I Love Him,That`s all I do
504,And I Love Him,And if you saw my love
505,And I Love Him,You`d love him too
506,And I Love Him,And I love him
507,And I Love Him,He gives me everything
508,And I Love Him,And ternderly
509,And I Love Him,The kiss my love brings
510,And I Love Him,He brings to me
511,And I Love Him,And I love him
512,And I Love Him,A love like ours
513,And I Love Him,Could never die
514,And I Love Him,As long as I have you near me
515,And I Love Him,Bright as the stars that shine
516,And I Love Him,Dark is the sky
517,And I Love Him,I know this love of mine
518,And I Love Him,Will never die
